data,ora,open,high,low,close,volume
2010.01.01,00:00,1.61669,1.61696,1.61487,1.61614,162640
2010.01.04,00:00,1.61205,1.62415,1.60575,1.60900,205320
2010.01.05,00:00,1.60895,1.61530,1.59650,1.59865,213184
2010.01.06,00:00,1.59865,1.60635,1.59370,1.60065,239592
2010.01.07,00:00,1.60080,1.60585,1.58960,1.59265,212376
2010.01.08,00:00,1.59265,1.61100,1.59150,1.60210,208460
2010.01.11,00:00,1.60575,1.61935,1.60565,1.61145,252912
2010.01.12,00:00,1.61145,1.61945,1.60615,1.61680,222976
2010.01.13,00:00,1.61680,1.63070,1.61365,1.62670,265864
2010.01.14,00:00,1.62665,1.63465,1.62495,1.63360,221724
2010.01.15,00:00,1.63365,1.63545,1.62100,1.62615,209428
2010.01.18,00:00,1.62685,1.63770,1.62495,1.63460,156252
2010.01.19,00:00,1.63465,1.64575,1.63115,1.63630,237508
2010.01.20,00:00,1.63630,1.63700,1.62430,1.62945,223408
2010.01.21,00:00,1.62945,1.63115,1.61245,1.61945,241404
2010.01.22,00:00,1.61945,1.62835,1.60770,1.61115,229204
2010.01.25,00:00,1.61075,1.62610,1.60945,1.62455,195080
2010.01.26,00:00,1.62455,1.62680,1.60930,1.61490,226116
2010.01.27,00:00,1.61490,1.62440,1.61065,1.61765,277612
2010.01.28,00:00,1.61765,1.62755,1.61120,1.61255,228368
2010.01.29,00:00,1.61255,1.61790,1.59775,1.59883,248008
2010.02.01,00:00,1.59445,1.59785,1.58505,1.59617,271868
2010.02.02,00:00,1.59620,1.59950,1.59020,1.59760,264748
2010.02.03,00:00,1.59760,1.60690,1.58760,1.59010,240188
2010.02.04,00:00,1.59010,1.59185,1.57300,1.57655,233944
2010.02.05,00:00,1.57655,1.57750,1.55580,1.56380,226712
2010.02.08,00:00,1.55960,1.56595,1.55335,1.55895,256668
2010.02.09,00:00,1.55900,1.57475,1.55610,1.57100,239928
2010.02.10,00:00,1.57075,1.57650,1.55715,1.55980,237288
2010.02.11,00:00,1.55975,1.57175,1.55590,1.56940,282728
2010.02.12,00:00,1.56935,1.57405,1.55800,1.56980,233376
2010.02.15,00:00,1.56630,1.57205,1.56120,1.56660,118548
2010.02.16,00:00,1.56660,1.57950,1.56270,1.57840,236920
2010.02.17,00:00,1.57840,1.58155,1.56653,1.56815,263172
2010.02.18,00:00,1.56815,1.56870,1.54695,1.54795,254388
2010.02.19,00:00,1.54800,1.54930,1.53505,1.54700,252740
2010.02.22,00:00,1.54540,1.55205,1.54305,1.54815,248240
2010.02.23,00:00,1.54815,1.55750,1.53930,1.54350,333632
2010.02.24,00:00,1.54345,1.54760,1.53855,1.54075,271984
2010.02.25,00:00,1.54075,1.54220,1.51880,1.52565,250916
2010.02.26,00:00,1.52565,1.53165,1.51515,1.52347,245656
2010.03.01,00:00,1.51515,1.52030,1.47805,1.49955,317284
2010.03.02,00:00,1.49955,1.49985,1.48540,1.49605,311184
2010.03.03,00:00,1.49610,1.51305,1.49585,1.50960,240328
2010.03.04,00:00,1.50960,1.51355,1.50055,1.50255,217288
2010.03.05,00:00,1.50255,1.51665,1.49920,1.51340,177300
2010.03.08,00:00,1.51505,1.51960,1.50305,1.50540,290428
2010.03.09,00:00,1.50540,1.50545,1.49355,1.50000,268152
2010.03.10,00:00,1.49995,1.50155,1.48725,1.49820,249580
2010.03.11,00:00,1.49825,1.50680,1.49450,1.50660,206628
2010.03.12,00:00,1.50660,1.52170,1.50260,1.52025,225080
2010.03.15,00:00,1.51755,1.52070,1.50185,1.50455,272656
2010.03.16,00:00,1.50455,1.52595,1.49775,1.52325,308496
2010.03.17,00:00,1.52320,1.53815,1.52085,1.53195,327196
2010.03.18,00:00,1.53195,1.53275,1.52165,1.52505,234188
2010.03.19,00:00,1.52510,1.52555,1.49880,1.50105,222352
2010.03.22,00:00,1.49875,1.51080,1.49310,1.50975,242244
2010.03.23,00:00,1.50975,1.51120,1.49725,1.50335,255044
2010.03.24,00:00,1.50335,1.50355,1.48530,1.48860,246896
2010.03.25,00:00,1.48860,1.50020,1.47975,1.48110,214560
2010.03.26,00:00,1.48110,1.49235,1.48065,1.48950,230212
2010.03.29,00:00,1.49560,1.50190,1.48915,1.49775,254608
2010.03.30,00:00,1.49775,1.51265,1.49735,1.50705,266808
2010.03.31,00:00,1.50705,1.52035,1.50430,1.51765,283216
2010.04.01,00:00,1.51760,1.52980,1.51720,1.52940,211076
2010.04.02,00:00,1.52940,1.52960,1.51815,1.52035,72408
2010.04.05,00:00,1.52685,1.53190,1.52230,1.52865,99660
2010.04.06,00:00,1.52870,1.53065,1.51290,1.52635,224748
2010.04.07,00:00,1.52635,1.52860,1.51375,1.52355,252792
2010.04.08,00:00,1.52355,1.52815,1.51405,1.52800,255676
2010.04.09,00:00,1.52800,1.53910,1.52670,1.53685,222664
2010.04.12,00:00,1.54465,1.54850,1.53525,1.53600,238396
2010.04.13,00:00,1.53605,1.54485,1.53355,1.53780,252804
2010.04.14,00:00,1.53780,1.54905,1.53710,1.54655,248884
2010.04.15,00:00,1.54655,1.55225,1.53850,1.54705,277908
2010.04.16,00:00,1.54725,1.54810,1.53570,1.53600,233216
2010.04.19,00:00,1.52915,1.53420,1.51915,1.53360,256596
2010.04.20,00:00,1.53355,1.54320,1.52890,1.53795,255512
2010.04.21,00:00,1.53795,1.54390,1.53310,1.54080,268564
2010.04.22,00:00,1.54080,1.54730,1.53415,1.53865,337168
2010.04.23,00:00,1.53865,1.53975,1.52935,1.53745,278872
2010.04.26,00:00,1.53835,1.54975,1.53700,1.54535,322188
2010.04.27,00:00,1.54545,1.54830,1.52245,1.52445,411500
2010.04.28,00:00,1.52460,1.52875,1.51250,1.52025,385020
2010.04.29,00:00,1.52025,1.53445,1.51420,1.53365,355776
2010.04.30,00:00,1.53365,1.53905,1.52530,1.52665,275856
2010.05.03,00:00,1.53070,1.53155,1.52105,1.52355,236428
2010.05.04,00:00,1.52350,1.52645,1.50905,1.51345,360944
2010.05.05,00:00,1.51345,1.51725,1.50670,1.51045,333064
2010.05.06,00:00,1.51045,1.51475,1.47085,1.47765,299064
2010.05.07,00:00,1.47765,1.49345,1.44755,1.48010,234792
2010.05.10,00:00,1.48380,1.50540,1.47590,1.48560,276140
2010.05.11,00:00,1.48560,1.50035,1.47195,1.49250,241592
2010.05.12,00:00,1.49255,1.50445,1.48180,1.48285,294168
2010.05.13,00:00,1.48285,1.49165,1.45715,1.45955,242220
2010.05.14,00:00,1.45955,1.46390,1.44955,1.45315,208152
2010.05.17,00:00,1.45205,1.45455,1.42505,1.44890,216192
2010.05.18,00:00,1.44880,1.45185,1.42750,1.42825,243508
2010.05.19,00:00,1.42830,1.44655,1.42375,1.44515,250408
2010.05.20,00:00,1.44515,1.44590,1.42275,1.43495,255780
